region;year;lognat_decomp
north;1990;0.316768963251475
north;1991;0.306977827989219
north;1992;0.299328610847648
north;1993;0.29360604663563
north;1994;0.289498959919254
north;1995;0.287482894623463
north;1996;0.284189350439742
north;1997;0.279550064648155
north;1998;0.279135210979539
north;1999;0.279822651263503
north;2000;0.281209085460324
north;2001;0.282078277188459
north;2002;0.28143408042476
north;2003;0.282722285381199
north;2004;0.283814532256545
north;2005;0.287150427806356
north;2006;0.290014036449735
north;2007;0.293708012384071
north;2008;0.300881741471038
north;2009;0.301530229858273
north;2010;0.302950375977829
north;2011;0.308248599465894
north;2012;0.312820843338226
north;2013;0.317148649789426
north;2014;0.322516025552463
north;2015;0.329985624352171
north;2016;0.334013569055383
north;2017;0.337709378590718
north;2018;0.342325150810209
north;2019;0.346976948664651
north;2020;0.353176207993645
north;2021;0.357593050225409
north;2022;0.361961692837844
south;1990;0.447139334233817
south;1991;0.444755743494854
south;1992;0.442904639756338
south;1993;0.445197556573387
south;1994;0.45272872708379
south;1995;0.464450234846726
south;1996;0.472708409836085
south;1997;0.479156394368433
south;1998;0.491359634245241
south;1999;0.503851778885349
south;2000;0.516386830445604
south;2001;0.524833795843367
south;2002;0.529307258125872
south;2003;0.535116195725657
south;2004;0.538308793184428
south;2005;0.542868844209357
south;2006;0.548121672901019
south;2007;0.554279609698597
south;2008;0.564211549776277
south;2009;0.561131471785
south;2010;0.561156291978013
south;2011;0.568665137774021
south;2012;0.576052505785863
south;2013;0.584314407101391
south;2014;0.595578700359927
south;2015;0.613023058962238
south;2016;0.628892537985485
south;2017;0.647736115633616
south;2018;0.663772251891482
south;2019;0.677982995177923
south;2020;0.687797483189231
south;2021;0.695515514362183
south;2022;0.705805548841153
