region;year;sum_P;mean_T;ampli_T
north;1960;481.516942574454;1.54709383873581;15.9709475330947
north;1961;653.731373855403;2.6519732452759;13.5350066872629
north;1962;609.082401105727;0.443222534672936;12.8248069349103
north;1963;508.750473172579;0.878363572799357;14.2906032386704
north;1964;541.036139257723;1.4830477827771;13.5508456560444
north;1965;575.350561938648;0.430637599416877;12.7578951815196
north;1966;553.22065770343;-0.859760541438607;18.0752016164236
north;1967;620.193065175903;1.51689164244762;16.2594234819867
north;1968;528.264293659934;-0.168901497515825;16.6510412758604
north;1969;423.230543810677;0.0498628051286964;15.3564542985131
north;1970;535.000255376477;0.759787007100599;16.4577923417925
north;1971;556.971783377599;0.0733161171363647;13.4464486514955
north;1972;566.33298507945;2.44971298679742;14.6055619293833
north;1973;529.135307631332;1.00537478534202;16.3373096844006
north;1974;711.644818371053;2.95871529110446;12.0002476575585
north;1975;545.527169536919;2.26309498292347;11.4182864809546
north;1976;462.864914933033;-0.233117924236331;15.0069460419304
north;1977;583.710863784187;0.640361186196199;13.3759744111523
north;1978;430.577372085967;-0.470846925377696;16.5485922973364
north;1979;614.688894380513;1.03344235919994;14.8279291169123
north;1980;481.280662147502;0.319415104279458;14.7711669801381
north;1981;701.393885761563;0.291005087464934;14.6693607937281
north;1982;545.501069627294;1.21873471652253;16.8707118974082
north;1983;684.01689291571;1.3718720849089;14.1585316169098
north;1984;570.130830902937;2.03716929810017;12.7635254898311
north;1985;556.152557544461;-1.18693068004729;18.9411755942555
north;1986;580.30841292356;0.570825924989901;16.073766924652
north;1987;560.126360333271;-0.73440976570882;17.05567132756
north;1988;574.615330477888;1.34291921748506;15.1520207884821
north;1989;644.055951165;3.18834113487707;12.5454047998415
north;1990;498.952541948374;2.25690283796007;13.8573605283935
north;1991;639.583490115729;1.67626090277471;14.0035499719027
north;1992;710.836057833281;2.00327859933869;10.8780677557448
north;1993;567.87394711092;1.23703485128113;11.788178538139
north;1994;534.486283051643;1.21674887028382;16.08406438144
north;1995;580.077583381839;1.8387754307305;13.9546958539407
north;1996;543.793316662358;1.34636181776234;14.4867732829914
north;1997;568.471396145447;1.54181700482343;13.9724987858811
north;1998;750.428682213847;0.635726491365202;14.899575786604
north;1999;583.002725886825;1.73243158724105;14.9335199161191
north;2000;699.711878559748;3.14294980253283;12.3542008522368
north;2001;574.476456965332;1.39315488275419;14.7187910128936
north;2002;515.342960550373;1.52908376201994;15.4643937458564
north;2003;560.048008682994;2.10279093501645;18.1877537546538
north;2004;685.898924803724;2.15950401721867;13.3514121859052
north;2005;636.111060012384;2.96412553963088;13.3279091903503
north;2006;540.797080212663;2.33839587506191;14.7500222655525
north;2007;698.847990280881;2.61437665204595;15.6962030594728
north;2008;722.281898449998;2.64575551923681;10.2387893237439
north;2009;524.005166247398;1.89281239395676;12.6251244805834
north;2010;593.209599368356;0.548650280770867;17.2535464581719
north;2011;673.918947748247;3.12517422567559;17.4189533587636
north;2012;753.148294293469;1.22438916052451;14.5291927077604
north;2013;632.228893268061;2.956926638053;13.5195940733776
north;2014;603.35499037211;3.28811346046975;15.0823144461191
north;2015;813.363170402331;3.5862744408512;11.7659476737068
north;2016;660.816931485826;2.86252493689509;16.1470617956126
north;2017;615.480268791119;2.19371704887525;11.52006708408
north;2018;480.591845314311;2.92229097493847;16.4611626383798
north;2019;621.086012584572;2.2559704695107;13.8598637925422
north;2020;763.338213278405;4.03353747159734;10.9573344472114
north;2021;668.579648527865;1.90531685155961;15.7191963170254
north;2022;582.913214821185;2.93125899922094;12.7683290424288
south;1960;558.660128422242;3.04465368597762;14.4298042333914
south;1961;654.899925516972;4.47291788634603;11.7872062802702
south;1962;654.568709373613;2.36619561756012;11.7278483471414
south;1963;513.806499247112;2.50088502220141;14.1417367994493
south;1964;489.478053779868;3.08043908196505;13.1579827399882
south;1965;561.929645443716;2.41230779764252;11.8244490704551
south;1966;591.663783004608;1.30343431514435;17.0300398097083
south;1967;654.28332786187;3.23446726656289;14.7820526751625
south;1968;576.881806040693;2.00006592881267;16.6980780605402
south;1969;496.045940895929;1.93286795947765;14.4727141667892
south;1970;564.673270981919;2.41137425512083;15.6906987956282
south;1971;558.59219578793;2.54987532416054;12.4178405185262
south;1972;562.882343149368;4.05672302976339;14.6606476382174
south;1973;575.315195503706;3.0568287382282;14.6308496752333
south;1974;783.788227948685;4.50420112168387;10.695678077994
south;1975;527.512295192261;4.52583446839412;10.5784960517794
south;1976;473.691247621958;1.48267675758051;14.0104347703711
south;1977;646.424972632835;2.56847629631218;12.5635234153937
south;1978;469.297586900198;1.43243638761856;15.2049402605384
south;1979;636.749511863008;2.80348795873293;13.5441233804917
south;1980;600.954088409744;2.35987575025546;13.8322108740636
south;1981;761.040283520579;2.52418727267999;13.0779606562684
south;1982;566.014478395773;3.06274306259966;15.4392448070911
south;1983;687.584816734835;3.49397697343589;13.6810823231091
south;1984;637.811162233435;3.80161692295569;11.5347634184866
south;1985;598.986357501813;0.856808811410482;17.3294508520143
south;1986;646.720392054363;2.44290057346694;14.9577879302458
south;1987;637.204177555665;0.886394449679122;17.4428689949009
south;1988;703.809358539595;3.33915609091748;13.8573920200702
south;1989;608.24535403394;5.03357176500139;11.7664793781614
south;1990;613.737790217099;4.21466900057596;11.5996135717174
south;1991;671.080847385077;3.79156562515411;12.9292211730606
south;1992;689.941078941543;3.97037979842394;9.99989326764921
south;1993;589.837120780579;3.05785860608349;10.5445547121098
south;1994;624.747798880144;2.95210156599875;16.5420082885697
south;1995;620.187184110521;3.87640758500457;13.2341811778512
south;1996;609.030433448611;2.81694731302175;14.4542722084577
south;1997;578.326822723295;3.57122074929493;12.7340803932863
south;1998;718.977398842253;2.84508340892161;12.3000094117192
south;1999;597.108438634972;3.80280766969552;13.6910334197571
south;2000;680.536014189286;4.92800405703984;10.7836785850569
south;2001;637.610212802651;3.36593098737337;14.5833502096107
south;2002;536.54505631562;3.62156077727137;14.5607727254061
south;2003;602.85640094278;3.63300595528078;16.5272197575528
south;2004;700.575794384015;3.83545609790121;12.4689133765252
south;2005;638.687865043409;4.43490070532119;12.7714335799995
south;2006;586.911211346749;4.33790462443278;14.2160242022083
south;2007;700.170020075542;4.4320430265495;14.8764082526464
south;2008;775.705822125796;4.82181863998785;9.17868034755385
south;2009;524.89084996903;3.65423078137112;11.9193836157934
south;2010;589.439958601533;2.37167319239843;17.5747298381526
south;2011;706.071389308644;4.81337947720305;16.4979306067071
south;2012;809.02762878439;3.19456479889785;13.8041177616157
south;2013;645.907063260742;4.83634823848268;12.7054289593578
south;2014;588.263242615272;5.11680124175832;14.2787707590231
south;2015;700.55649154714;5.41584964923481;10.5066892246082
south;2016;638.725442455013;4.33562830983224;15.1356158615131
south;2017;656.626191882201;4.16720834089963;10.219470497336
south;2018;494.480469568092;4.71320922870393;15.334406835038
south;2019;650.523381657571;4.55421844148856;12.612185603758
south;2020;726.113377829102;6.11371090141705;9.74707145194286
south;2021;660.576337300596;4.02579132935817;14.8721550664365
south;2022;625.864771987948;4.7297244666694;11.6208938602006
